Id,Age,Job,Marital,Education,Default,Balance,HHInsurance,CarLoan,Communication,LastContactDay,LastContactMonth,NoOfContacts,DaysPassed,PrevAttempts,CarInsurance,CallDuration,age_group,LastContactDayGroup,LastContactMonth_Number,NoOfContactsGroup,CallDurationGroup
1,32,management,single,tertiary,0,1218,1,0,telephone,28,jan,2,-1,0,0,70,31-40 Years,End of Month,1,1 - 10 times,Below Average CallDuration
2,32,blue-collar,married,primary,0,1156,1,0,cellular,26,may,5,-1,0,0,185,31-40 Years,End of Month,5,1 - 10 times,Below Average CallDuration
3,29,management,single,tertiary,0,637,1,0,cellular,3,jun,1,119,1,1,340,21-30 Years,Beginning of Month,6,One times,Below Average CallDuration
4,25,student,single,primary,0,373,1,0,cellular,11,may,2,-1,0,1,819,21-30 Years,Beginning of Month,5,1 - 10 times,Above Average CallDuration
5,30,management,married,tertiary,0,2694,0,0,cellular,3,jun,1,-1,0,0,192,21-30 Years,Beginning of Month,6,One times,Below Average CallDuration
6,32,technician,single,tertiary,0,1625,0,0,cellular,22,may,1,109,1,1,796,31-40 Years,End of Month,5,One times,Above Average CallDuration
7,37,admin.,single,tertiary,0,1000,1,0,cellular,17,mar,1,-1,0,1,195,31-40 Years,Middle of Month,3,One times,Below Average CallDuration
8,35,management,divorced,tertiary,0,538,1,0,cellular,12,may,4,-1,0,0,66,31-40 Years,Middle of Month,5,1 - 10 times,Below Average CallDuration
9,30,admin.,married,secondary,0,187,1,0,cellular,18,nov,1,-1,0,0,106,21-30 Years,Middle of Month,11,One times,Below Average CallDuration
10,30,blue-collar,married,secondary,0,3,1,1,cellular,12,may,2,-1,0,0,326,21-30 Years,Middle of Month,5,1 - 10 times,Below Average CallDuration
11,27,services,single,secondary,0,0,0,0,cellular,1,jun,1,-1,0,0,181,21-30 Years,Beginning of Month,6,One times,Below Average CallDuration
12,53,blue-collar,married,primary,1,-462,0,0,cellular,29,jan,1,-1,0,1,470,51-60 Years,End of Month,1,One times,Above Average CallDuration
13,44,technician,married,secondary,0,2776,1,0,cellular,27,jan,1,-1,0,1,701,41-50 Years,End of Month,1,One times,Above Average CallDuration
14,38,self-employed,divorced,secondary,0,2674,1,0,cellular,19,jun,2,-1,0,0,163,31-40 Years,Middle of Month,6,1 - 10 times,Below Average CallDuration
15,25,services,single,secondary,0,2022,0,0,cellular,29,jul,8,97,12,1,276,21-30 Years,End of Month,7,1 - 10 times,Below Average CallDuration
16,61,management,single,tertiary,0,2,0,0,cellular,12,aug,1,114,3,1,131,>61 Years,Middle of Month,8,One times,Below Average CallDuration
17,34,admin.,single,secondary,0,69,1,0,telephone,6,may,3,362,4,0,92,31-40 Years,Beginning of Month,5,1 - 10 times,Below Average CallDuration
18,46,management,married,tertiary,0,7331,0,0,cellular,11,sep,4,95,2,1,658,41-50 Years,Beginning of Month,9,1 - 10 times,Above Average CallDuration
19,49,blue-collar,married,secondary,0,2039,1,0,cellular,6,may,1,169,2,1,451,41-50 Years,Beginning of Month,5,One times,Above Average CallDuration
20,50,blue-collar,married,primary,0,82,0,0,telephone,5,apr,1,-1,0,1,456,41-50 Years,Beginning of Month,4,One times,Above Average CallDuration
21,57,blue-collar,married,secondary,0,773,1,1,cellular,18,jun,8,-1,0,0,97,51-60 Years,Middle of Month,6,1 - 10 times,Below Average CallDuration
22,80,retired,married,secondary,0,8304,0,0,telephone,8,sep,3,91,13,1,606,>61 Years,Beginning of Month,9,1 - 10 times,Above Average CallDuration
23,31,management,single,tertiary,0,0,0,0,cellular,21,aug,2,-1,0,0,218,31-40 Years,Middle of Month,8,1 - 10 times,Below Average CallDuration
24,63,retired,married,secondary,0,2896,0,0,cellular,1,jul,1,119,2,1,304,>61 Years,Beginning of Month,7,One times,Below Average CallDuration
25,60,technician,married,secondary,0,824,1,0,cellular,9,feb,1,558,7,1,127,51-60 Years,Beginning of Month,2,One times,Below Average CallDuration
26,29,management,married,tertiary,0,900,0,0,cellular,17,jul,2,-1,0,0,275,21-30 Years,Middle of Month,7,1 - 10 times,Below Average CallDuration
27,54,management,married,primary,0,3859,0,1,cellular,20,nov,3,-1,0,0,104,51-60 Years,Middle of Month,11,1 - 10 times,Below Average CallDuration
28,45,management,divorced,secondary,0,0,0,0,cellular,21,apr,3,-1,0,1,278,41-50 Years,Middle of Month,4,1 - 10 times,Below Average CallDuration
29,34,services,married,secondary,0,-62,1,0,cellular,16,jun,3,-1,0,0,109,31-40 Years,Middle of Month,6,1 - 10 times,Below Average CallDuration
30,42,blue-collar,married,primary,0,832,0,0,cellular,20,jun,14,-1,0,0,13,41-50 Years,Middle of Month,6,10 - 20 times,Below Average CallDuration
31,54,technician,married,secondary,0,0,0,0,telephone,30,apr,3,84,3,1,766,51-60 Years,End of Month,4,1 - 10 times,Above Average CallDuration
32,32,admin.,single,secondary,0,6981,1,0,cellular,2,jun,1,194,3,0,154,31-40 Years,Beginning of Month,6,One times,Below Average CallDuration
33,57,retired,single,tertiary,0,842,0,0,cellular,13,aug,3,-1,0,1,284,51-60 Years,Middle of Month,8,1 - 10 times,Below Average CallDuration
34,36,management,divorced,tertiary,0,1057,0,0,cellular,5,feb,2,-1,0,0,383,31-40 Years,Beginning of Month,2,1 - 10 times,Above Average CallDuration
35,34,blue-collar,single,secondary,0,1698,1,0,cellular,27,may,7,-1,0,0,39,31-40 Years,End of Month,5,1 - 10 times,Below Average CallDuration
36,39,blue-collar,married,secondary,0,300,1,0,cellular,14,may,1,-1,0,0,506,31-40 Years,Middle of Month,5,One times,Above Average CallDuration
37,31,blue-collar,married,secondary,0,664,1,1,cellular,21,may,3,-1,0,0,987,31-40 Years,Middle of Month,5,1 - 10 times,Above Average CallDuration
